"","solution","std.error","z.ratio"
"vm(ID, ginv)_No_519544",0.395622587191767,0.793962761751512,0.498288592677833
"vm(ID, ginv)_No_519545",0.722931193987192,0.83525174866406,0.865524909278527
"vm(ID, ginv)_No_519546",0.539671031415054,0.803776108599533,0.671419597623218
"vm(ID, ginv)_No_519547",0.593971752434716,0.808842110822835,0.73434820527639
"vm(ID, ginv)_No_519548",0.208802869205888,0.810581629574742,0.257596350062155
"vm(ID, ginv)_No_519549",0.607648694879137,0.810717702094975,0.749519460730798
"vm(ID, ginv)_No_519550",0.650849955923554,0.810401030897924,0.803120839076934
"vm(ID, ginv)_No_519551",-0.497821701306086,0.784286700750268,-0.634744540268065
"vm(ID, ginv)_No_519552",0.641093170281438,0.789889518899549,0.811623847312964
"vm(ID, ginv)_No_519553",0.643228942960422,0.79907992848035,0.804961956914225
"vm(ID, ginv)_No_519554",0.618984862524249,0.816498209604552,0.758097023659166
"vm(ID, ginv)_No_519555",0.500261723897475,0.818940875692052,0.610864274511545
"vm(ID, ginv)_No_519556",-0.228532308554161,0.798877224652433,-0.286066871731871
"vm(ID, ginv)_No_519557",1.16958752267538,0.804120253601733,1.45449330176263
"vm(ID, ginv)_No_519558",0.288340688046864,0.791736045726625,0.364187900251827
"vm(ID, ginv)_No_519559",-0.380884050947512,0.782506702137251,-0.486748611746337
"vm(ID, ginv)_No_519560",-0.924176926789951,0.81710017625304,-1.13104482614106
"vm(ID, ginv)_No_519561",-0.520756216201852,0.781048407291716,-0.666740001439313
"vm(ID, ginv)_No_519562",0.264167746640129,0.795013875095618,0.332280674483017
"vm(ID, ginv)_No_519563",0.618238852875606,0.816643424615815,0.757048712130944
"vm(ID, ginv)_No_519564",0.239920018243256,0.789250231739095,0.303984729550979
"vm(ID, ginv)_No_519565",0.52846813653086,0.812610585029057,0.65033380842801
"vm(ID, ginv)_No_519566",0.355654978613402,0.815772777472715,0.435973090098974
"vm(ID, ginv)_No_519567",0.322826345169725,0.847873104263933,0.380748420425461
"vm(ID, ginv)_No_519568",0.77579561194712,0.816556843598148,0.950081574882878
"vm(ID, ginv)_No_519569",0.549806431734743,0.806309494889358,0.681880140590665
"vm(ID, ginv)_No_519570",-0.176693255766462,0.780652496527489,-0.226340473581308
"vm(ID, ginv)_No_519571",0.344460162863995,0.804942059957269,0.427931623901329
"vm(ID, ginv)_No_519572",1.60955050310476,0.800921965576718,2.00962212585314
"vm(ID, ginv)_No_519573",0.701060273244773,0.78575850699543,0.892208314645521
"vm(ID, ginv)_No_519574",0.241513365070538,0.825765279246223,0.292472172347809
"vm(ID, ginv)_No_519575",0.524453510785133,0.815423619629194,0.643166935762326
"vm(ID, ginv)_No_519576",0.905374321708772,0.816780580302014,1.10846700269735
"vm(ID, ginv)_No_519577",-0.0474656790155784,0.820923338701951,-0.0578198679192522
"vm(ID, ginv)_No_519578",0.974956635938578,0.801758605352056,1.21602266496469
"vm(ID, ginv)_No_519579",0.0494107532413499,0.807071530376184,0.0612222726011894
"vm(ID, ginv)_No_519580",0.277892769853454,0.808171453137831,0.343853731500289
"vm(ID, ginv)_No_519581",0.8604141040924,0.814547151751997,1.05630975719668
"vm(ID, ginv)_No_519582",0.00629095003704173,0.81572789418408,0.00771206928424846
"vm(ID, ginv)_No_519583",0.205386718681199,0.806205138830768,0.254757392118672
"vm(ID, ginv)_No_519584",0.467326076000819,0.807239633061628,0.578918646781979
"vm(ID, ginv)_No_519585",-0.0593177860897913,0.792541025766826,-0.0748450668940427
